T,probe_id,benchmark,endpoint_hidden_norm,trajectory_divergence_from_T1,predicted_answer,parsed_answer_match,kl_divergence,js_divergence,mean_velocity_norm
1,arc_20,arc_easy,2.081165313720703,0.0,D,False,0.7081017394900686,0.1526075506038454,0.0
1,arc_21,arc_easy,2.0416154861450195,0.0,A,False,0.009003117260761258,0.0022374192881565065,0.0
1,arc_22,arc_easy,2.068894147872925,0.0,A,False,0.2809537259465751,0.07608058988892731,0.0
1,arc_23,arc_easy,2.0784966945648193,0.0,B,False,0.674754700581686,0.18438889265274433,0.0
1,arc_24,arc_easy,2.073303461074829,0.0,B,False,0.8625773732038087,0.1654368882423719,0.0
1,arc_25,arc_easy,2.09228777885437,0.0,A,False,0.3681491905566236,0.09672534454157872,0.0
1,arc_26,arc_easy,2.0749683380126953,0.0,A,False,0.007397404260379152,0.0019647859244904878,0.0
1,arc_27,arc_easy,2.0688729286193848,0.0,A,False,0.16787917188268964,0.04263695285882929,0.0
1,arc_28,arc_easy,2.038214921951294,0.0,A,False,0.33256827165475206,0.07343027583176923,0.0
1,arc_29,arc_easy,2.0511586666107178,0.0,A,False,0.06988402095992999,0.014402825913277937,0.0
1,arc_30,arc_easy,2.00947642326355,0.0,B,False,2.001871721284437,0.34878221291565237,0.0
1,arc_31,arc_easy,2.053825616836548,0.0,A,False,0.03127601810212851,0.008574129477600903,0.0
1,arc_32,arc_easy,2.094412326812744,0.0,B,False,0.5221908694044494,0.11483679673213494,0.0
1,arc_33,arc_easy,2.061798572540283,0.0,B,False,0.20546821192673123,0.04731424915201482,0.0
1,arc_34,arc_easy,2.072988986968994,0.0,A,False,0.946573164161301,0.18308548543012287,0.0
1,arc_35,arc_easy,2.0821735858917236,0.0,B,False,0.0257268370326952,0.006685111941008215,0.0
1,arc_36,arc_easy,2.1048569679260254,0.0,B,False,0.26014501603146867,0.06163008240956379,0.0
1,arc_37,arc_easy,2.0303027629852295,0.0,B,False,0.41561714623259904,0.08864003659015048,0.0
1,arc_38,arc_easy,2.0334441661834717,0.0,B,False,0.025742825471406397,0.006817319818550437,0.0
